Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Through vision
786477,1.38000000,7.50000000,58.00000000,17.64934921,7.56360006,207.00000000
786478,1.38000000,7.56000000,60.00000000,19.42632675,8.81639957,186.00000000
786479,1.38000000,7.62000000,72.00000000,26.96606827,13.83839989,238.00000000
786480,1.38000000,7.68000000,98.00000000,40.28659058,21.53160095,654.00000000
786481,1.38000000,7.74000000,66.00000000,28.82032013,16.82279968,14.00000000
851970,1.44000000,4.92000000,24.00000000,7.03678083,2.71079993,0.00000000
851971,1.44000000,4.98000000,26.00000000,6.84746170,2.41560006,66.00000000
851972,1.44000000,5.04000000,43.00000000,15.91971588,8.29440022,178.00000000
851973,1.44000000,5.10000000,80.00000000,29.56294441,13.33440018,208.00000000
851974,1.44000000,5.16000000,76.00000000,26.05621147,10.93319988,291.00000000
851975,1.44000000,5.22000000,102.00000000,37.35372543,18.38159943,780.00000000
851976,1.44000000,5.28000000,74.00000000,23.35380745,8.99279976,69.00000000
851977,1.44000000,5.34000000,73.00000000,23.33621407,9.02519989,52.00000000
851978,1.44000000,5.40000000,73.00000000,24.70051956,9.94320011,36.00000000
851979,1.44000000,5.46000000,72.00000000,26.30470467,11.15639973,0.00000000
851987,1.44000000,5.94000000,152.00000000,222.51847839,509.19479370,1770.00000000
851988,1.44000000,6.00000000,150.00000000,222.08430481,509.08679199,1764.00000000
851999,1.44000000,6.66000000,161.00000000,217.65577698,466.41598511,1170.00000000
852004,1.44000000,6.96000000,22.00000000,6.79387617,2.96280003,93.00000000
852007,1.44000000,7.14000000,57.00000000,19.55337715,9.04319954,536.00000000
852016,1.44000000,7.68000000,63.00000000,21.58626747,9.94320011,568.00000000
917506,1.50000000,4.92000000,33.00000000,15.10892391,10.10879993,6.00000000
917507,1.50000000,4.98000000,32.00000000,12.57014084,7.29720020,74.00000000
917508,1.50000000,5.04000000,24.00000000,8.52340889,4.37400007,56.00000000
917510,1.50000000,5.16000000,33.00000000,10.20894909,4.04279995,188.00000000
917511,1.50000000,5.22000000,72.00000000,29.44890976,15.35400009,675.00000000
917522,1.50000000,5.88000000,36.00000000,12.21670437,6.05159998,0.00000000
