Ref,x1,y1,x2,y2,Angular Connectivity,Angular Shortest Path Angle,Angular Shortest Path Order,Axial Line Ref,Connectivity,Segment Length
1097,533542.718131,184224.610618,533571.035431,184297.371224,3.0542002,-1,-1,349,5,78.076729
1098,533571.035431,184297.371224,533584.882364,184332.950579,1.086924,-1,-1,349,4,38.178894
1099,533584.882364,184332.950579,533592.065867,184351.408412,3.8588758,-1,-1,349,4,19.806421
1100,533488.98942,184170.564859,533516.485557,184157.206663,2.5628395,-1,-1,350,4,30.569248
1101,533516.485557,184157.206663,533653.78666,184090.502925,2.9553642,-1,-1,350,4,152.64659
1102,533632.761839,184038.18682,533646.219744,184071.674151,1.9056505,-1,-1,351,3,36.090393
1103,533646.219744,184071.674151,533653.78666,184090.502925,1.9439689,-1,-1,351,3,20.292385
1104,533646.219744,184071.674151,533724.707934,184038.487447,4,-1,-1,352,5,85.215919
1105,533724.707934,184038.487447,533788.680751,184011.438194,3.038465,-1,-1,352,5,69.456345
1106,533788.680751,184011.438194,533855.119808,183983.346155,2.0050292,-1,-1,352,4,72.13398
1107,533855.119808,183983.346155,533903.769658,183962.775822,2.9565058,-1,-1,352,4,52.819942
1108,533855.119808,183983.346155,533890.117319,184084.955532,4,-1,-1,353,4,107.46763
1109,533282.22264,184329.330266,533296.30243,184323.670165,2.4730837,-1,-1,354,4,15.174889
1110,533296.30243,184323.670165,533363.449817,184296.676797,4,-1,-1,354,6,72.36998
1111,533363.449817,184296.676797,533366.817065,184295.323157,4,-1,-1,354,6,3.6291449
1112,533366.817065,184295.323157,533542.718131,184224.610618,4,-1,-1,354,6,189.58231
1113,533542.718131,184224.610618,533620.680024,184193.2698,2.9785283,-1,-1,354,5,84.025612
1114,533620.680024,184193.2698,533759.173275,184137.595268,3.0214717,-1,-1,354,5,149.26498
1115,533759.173275,184137.595268,533824.038706,184111.519251,2.9728642,-1,-1,354,5,69.910538
1116,533824.038706,184111.519251,533890.117319,184084.955532,1.9949708,-1,-1,354,4,71.218079
1117,533890.117319,184084.955532,533952.976102,184059.68619,1.7326981,-1,-1,354,4,67.74781
1118,533952.976102,184059.68619,533959.978572,184056.871185,3.2994671,-1,-1,354,4,7.5471087
1119,533500.229235,184318.193431,533512.457094,184389.762329,2.920397,-1,-1,355,4,72.605972
1120,533512.457094,184389.762329,533530.877854,184497.577889,3.079603,-1,-1,355,5,109.37788
1121,533530.877854,184497.577889,533570.393797,184728.862237,2.2520938,-1,-1,355,5,234.6358
1122,533570.393797,184728.862237,533570.695481,184730.627974,3.7479064,-1,-1,355,4,1.7913237
1123,533442.006697,184335.315122,533500.229235,184318.193431,1.5474347,-1,-1,356,3,60.687859
1124,533500.229235,184318.193431,533571.035431,184297.371224,2.9256492,-1,-1,356,4,73.804344
1125,533461.834111,184405.104059,533462.942027,184404.768295,3.118978,-1,-1,357,4,1.1576769
1126,533462.942027,184404.768295,533512.457094,184389.762329,2.881022,-1,-1,357,4,51.738968
1127,533420.555676,184365.315699,533461.834111,184405.104059,0.67563176,-1,-1,358,2,57.332561
1128,533461.834111,184405.104059,533463.110864,184406.334724,3.3243682,-1,-1,358,4,1.773312
1129,533462.942027,184404.768295,533463.110864,184406.334724,3.5566537,-1,-1,359,4,1.5755012
1130,533463.110864,184406.334724,533473.199156,184499.931423,2.4433463,-1,-1,359,5,94.138809
1131,533473.199156,184499.931423,533498.972611,184739.051224,4,-1,-1,359,5,240.50478
1132,533290.789279,184507.374518,533355.694935,184504.726093,2.9402561,-1,-1,360,4,64.959663
1133,533355.694935,184504.726093,533411.406381,184502.45283,2.0533433,-1,-1,360,4,55.757805
1134,533411.406381,184502.45283,533473.199156,184499.931423,3.0064003,-1,-1,360,5,61.844196
1135,533473.199156,184499.931423,533530.877854,184497.577889,4,-1,-1,360,6,57.726696
1136,533530.877854,184497.577889,533609.193017,184494.382299,4,-1,-1,360,6,78.380333
1137,533609.193017,184494.382299,533685.696209,184491.260645,2.3847485,-1,-1,360,5,76.566856
1138,533685.696209,184491.260645,533692.942987,184490.964946,3.6152513,-1,-1,360,4,7.2528086
1139,533692.46246,184486.168573,533692.942987,184490.964946,3.0376055,-1,-1,361,4,4.8203835
