Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
196651,0.84000000,7.38000000,35.00000000,5.93245077,1.23479998,2.09306622,2.40071487,0.28799850,0.77962983,4.45201063,1866.00000000,2.94335103
196652,0.84000000,7.44000000,38.00000000,6.84849834,1.52639997,2.12042499,2.44128919,0.29286593,0.78112257,4.39463806,1866.00000000,2.89572120
196653,0.84000000,7.50000000,35.00000000,6.91121960,1.68480003,2.08483243,2.42178035,0.29052559,0.78040725,4.42198372,1866.00000000,2.92853785
196655,0.84000000,7.62000000,38.00000000,13.44343281,8.03880024,1.99071860,2.71344829,0.32551515,0.79066986,4.05415535,1866.00000000,2.85434580
196656,0.84000000,7.68000000,46.00000000,17.84958649,11.87279987,2.01151943,2.72877860,0.32735422,0.79118532,4.03699732,1866.00000000,2.83560562
196657,0.84000000,7.74000000,41.00000000,13.13754749,6.88679981,2.00720954,2.72637177,0.32706550,0.79110450,4.03967810,1866.00000000,2.83876586
262149,0.90000000,5.10000000,80.00000000,32.73764801,16.26840019,2.06744909,3.07516956,0.36890852,0.80227977,3.69490623,1866.00000000,2.63106203
262150,0.90000000,5.16000000,91.00000000,45.30130386,34.53839874,1.92832959,3.68082929,0.44156566,0.81956840,3.25147462,1866.00000000,2.51533961
262151,0.90000000,5.22000000,90.00000000,43.33089828,33.15599823,1.92747688,3.67995286,0.44146055,0.81954503,3.25201082,1866.00000000,2.51612997
262152,0.90000000,5.28000000,80.00000000,29.51815224,14.76360035,1.97739732,3.37168455,0.40447956,0.81104004,3.45790887,1866.00000000,2.58473015
262153,0.90000000,5.34000000,75.00000000,26.04678535,11.62800026,1.92585576,3.34179497,0.40089390,0.81018430,3.47989273,1866.00000000,2.63765430
262154,0.90000000,5.40000000,74.00000000,26.83385849,12.25080013,1.92173576,3.30888510,0.39694589,0.80923527,3.50455761,1866.00000000,2.65386605
262155,0.90000000,5.46000000,72.00000000,27.13816833,12.18599987,2.03346586,3.04908299,0.36577910,0.80147862,3.71796250,1866.00000000,2.66597319
262172,0.90000000,6.48000000,25.00000000,9.63487339,5.95440006,1.72314727,3.75140834,0.45003259,0.82143855,3.20911527,1866.00000000,2.65400410
262173,0.90000000,6.54000000,19.00000000,3.63952994,0.98280001,1.93392587,3.11420560,0.37359142,0.80346900,3.66112590,1866.00000000,2.70364046
262174,0.90000000,6.60000000,16.00000000,2.32923174,0.42120001,1.89490652,2.98720574,0.35835606,0.79955697,3.77426267,1866.00000000,2.79108667
262175,0.90000000,6.66000000,13.00000000,1.95361757,0.34200001,1.81005430,2.61475253,0.31367522,0.78729659,4.16943693,1866.00000000,3.04180980
262176,0.90000000,6.72000000,7.00000000,0.89613986,0.14399999,1.75255668,2.67124128,0.32045183,0.78923905,4.10241270,1866.00000000,3.06064796
262177,0.90000000,6.78000000,10.00000000,1.69534993,0.36359999,1.85831547,2.94901776,0.35377491,0.79835582,3.81018758,1866.00000000,2.83687949
262182,0.90000000,7.08000000,31.00000000,6.31249905,1.66680002,1.90094435,3.05209351,0.36614025,0.80157131,3.71528149,1866.00000000,2.76178169
262183,0.90000000,7.14000000,44.00000000,17.47346306,12.61079979,1.95004535,3.26830244,0.39207745,0.80805504,3.53565693,1866.00000000,2.63494182
262184,0.90000000,7.20000000,32.00000000,7.67842054,3.08520007,1.94316113,2.81680369,0.33791402,0.79410267,3.94209123,1866.00000000,2.83963203
262186,0.90000000,7.32000000,34.00000000,6.58114243,1.58039999,2.05524635,2.14336467,0.25712582,0.76967841,4.86648798,1866.00000000,3.15219426
262187,0.90000000,7.38000000,32.00000000,5.02270794,0.95400000,2.04857039,2.13950753,0.25666311,0.76952243,4.87345839,1866.00000000,3.15661860
262188,0.90000000,7.44000000,31.00000000,4.63852072,0.80640000,2.16553617,1.89991426,0.22792062,0.75937200,5.36193037,1866.00000000,3.23242044
262189,0.90000000,7.50000000,34.00000000,6.58114243,1.58039999,2.08441067,2.42140102,0.29048008,0.78039330,4.42252016,1866.00000000,2.92865920
262191,0.90000000,7.62000000,38.00000000,12.62071133,7.01280022,1.99139214,2.71392488,0.32557231,0.79068589,4.05361938,1866.00000000,2.85368252
262192,0.90000000,7.68000000,41.00000000,15.39915657,9.92520046,1.99520111,2.71630979,0.32585838,0.79076624,4.05093813,1866.00000000,2.85059142
262193,0.90000000,7.74000000,36.00000000,9.48387241,3.86640000,1.96969116,2.70206332,0.32414934,0.79028559,4.06702423,1866.00000000,2.87861919
327685,0.96000000,5.10000000,82.00000000,31.09652328,14.74199963,2.07076740,3.07823181,0.36927590,0.80237347,3.69222522,1866.00000000,2.62788057
327686,0.96000000,5.16000000,93.00000000,42.51575089,30.87000084,1.93000102,3.68258333,0.44177610,0.81961524,3.25040221,1866.00000000,2.51379251
327687,0.96000000,5.22000000,92.00000000,40.63651276,29.82239914,1.92917097,3.68170619,0.44167086,0.81959182,3.25093842,1866.00000000,2.51456046
327688,0.96000000,5.28000000,79.00000000,25.27159882,11.44799995,1.97667015,3.37094927,0.40439135,0.81101906,3.45844507,1866.00000000,2.58534741
327689,0.96000000,5.34000000,78.00000000,24.21743011,9.89280033,1.92889440,3.34541178,0.40132776,0.81028813,3.47721171,1866.00000000,2.63457036
327690,0.96000000,5.40000000,77.00000000,25.10808182,10.59119987,1.92474461,3.31243086,0.39737126,0.80933785,3.50187659,1866.00000000,2.65083933
327691,0.96000000,5.46000000,72.00000000,24.31167793,9.95040035,2.03346586,3.04908299,0.36577910,0.80147862,3.71796250,1866.00000000,2.66597319
327708,0.96000000,6.48000000,17.00000000,2.94843268,0.67320001,1.66954565,3.70110202,0.44399768,0.82010835,3.23914218,1866.00000000,2.71620226
327709,0.96000000,6.54000000,24.00000000,5.55511475,2.25359988,1.72480440,3.74776959,0.44959608,0.82134277,3.21126008,1866.00000000,2.65366817
327710,0.96000000,6.60000000,18.00000000,2.16292715,0.30960000,1.90606868,3.00989342,0.36107776,0.80026507,3.75335121,1866.00000000,2.77114248
327711,0.96000000,6.66000000,17.00000000,2.03593516,0.28080001,1.83104742,2.71059322,0.32517260,0.79057360,4.05737257,1866.00000000,2.97531056
