Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Metric Choice,Metric Choice [SLW],Metric Mean Depth,Metric Mean Depth [SLW],Metric Total Depth,Metric Total Length,Metric Total Nodes,Segment Length
135,531180.080455,183891.270761,531191.965639,183748.193874,1.8690072,39,4,1814,7404114.5,425.08038,492.61682,75239.227,12216.636,178,143.56969
136,531191.965639,183748.193874,531210.219332,183528.451248,3.0909696,39,5,576,3273600.5,553.74719,627.18774,98013.25,12216.636,178,220.49948
137,531210.219332,183528.451248,531210.6055,183523.802459,3.3558173,39,4,301,108546.36,609.26324,660.86633,107839.59,12216.636,178,4.6648011
138,531204.529923,183526.934938,531210.219332,183528.451248,4,40,5,623,2509809.8,608.17487,659.2995,107646.95,12216.636,178,5.8880019
139,531210.219332,183528.451248,531294.100666,183550.806851,2.8008873,40,5,540,2665175.2,627.08185,688.94403,110993.48,12216.636,178,86.80928
140,531294.100666,183550.806851,531375.100124,183572.394391,1.9834378,40,3,248,1418872.2,657.46436,726.37329,116371.2,12216.636,178,83.826813
141,530912.566958,183677.466796,530942.320478,183662.126313,3.7738943,41,4,410,2053362.2,600.02039,610.87878,106203.61,12216.636,178,33.475399
142,530942.320478,183662.126313,531101.00503,183580.310867,1.4153167,41,4,702,4646141.5,606.98883,638.41742,107437.02,12216.636,178,178.53447
143,531101.00503,183580.310867,531204.529923,183526.934938,1.2796584,41,4,676,3605734,614.67645,661.63281,108797.73,12216.636,178,116.47486
144,531204.529923,183526.934938,531210.6055,183523.802459,2.8869476,41,3,177,83460.977,611.91394,662.7066,108308.77,12216.636,178,6.8355722
145,531101.00503,183580.310867,531156.88079,183889.431752,3.9999998,42,5,326,5081820.5,512.42761,570.66437,90699.68,12216.636,178,314.13025
146,531156.88079,183889.431752,531157.130183,183890.811468,4,42,5,287,1267856,380.8324,432.9494,67407.336,12216.636,178,1.4020742
147,531029.291446,183888.25309,531030.230687,183855.631128,2,43,2,177,397630.69,440.42477,476.72516,77955.188,12216.636,178,32.635479
148,531191.965639,183748.193874,531247.250971,183744.871861,2.372308,44,4,1491,4244839.5,478.97922,552.3894,84779.32,12216.636,178,55.385048
149,531247.250971,183744.871861,531255.303728,183744.387983,3.6276922,44,4,875,2728668.5,492.72961,568.63885,87213.141,12216.636,178,8.0672827
150,531247.250971,183744.871861,531250.811287,183746.933134,2.6622484,45,4,644,1038745.2,490.3768,566.2879,86796.695,12216.636,178,4.1139636
151,531250.811287,183746.933134,531299.446867,183775.091082,1.9825487,45,4,553,1335808.2,504.34329,586.44971,89268.766,12216.636,178,56.198662
152,531299.446867,183775.091082,531311.29242,183781.949157,3.3552032,45,4,510,843210.06,510.91534,592.99133,90432.016,12216.636,178,13.687597
153,531250.811287,183746.933134,531255.303728,183744.387983,3.7100596,46,4,275,297671.88,493.19174,569.54132,87294.938,12216.636,178,5.1633153
154,531255.303728,183744.387983,531297.758244,183720.335774,0.85895824,46,4,882,3026104,507.61279,587.88647,89847.461,12216.636,178,48.794411
155,531297.758244,183720.335774,531302.825685,183717.464863,3.4309821,46,4,491,1811627,519.91876,600.33136,92025.617,12216.636,178,5.8241816
156,531294.100666,183550.806851,531302.825685,183717.464863,2.7051506,47,4,520,3060012.2,585.64392,671.03992,103658.98,12216.636,178,166.88625
157,531302.825685,183717.464863,531303.086878,183722.453957,3.2948494,47,4,457,1039548.9,522.1424,602.99835,92419.195,12216.636,178,4.9959264
158,530707.321114,183575.611283,530723.063265,183688.758214,0.98894149,48,2,177,1382539.2,782.61029,780.46167,138522.03,12216.636,178,114.23679
159,530723.063265,183688.758214,530730.767941,183744.135682,1.182127,48,3,263,1542393.2,717.17798,710.42249,126940.5,12216.636,178,55.910877
160,530723.063265,183688.758214,530804.10279,183678.914813,3.0480838,49,4,419,2703966.5,691.73419,691.39929,122436.95,12216.636,178,81.635147
161,530804.10279,183678.914813,530912.244928,183665.779416,2.0113289,49,4,449,2869870.2,634.74695,644.20129,112350.21,12216.636,178,108.93696
162,530912.244928,183665.779416,530942.320478,183662.126313,2.940587,49,4,473,2055678.8,605.94067,616.13678,107251.5,12216.636,178,30.296598
163,531140.793407,184138.095983,531154.133119,184099.625494,3.1072955,50,3,353,1266101.2,450.2731,466.19495,79698.344,12216.636,178,40.717644
164,531091.400795,184089.16428,531154.133119,184099.625494,1.1072954,51,1,177,772916.12,502.13654,518.95782,88878.172,12216.636,178,63.598595
165,531060.553704,184121.39462,531060.782857,184116.994225,3.0436037,52,4,330,695340.75,439.59354,447.87344,77808.055,12216.636,178,4.4063578
166,531060.782857,184116.994225,531065.497338,184026.462826,2.9563963,52,4,685,2858400.8,437.20001,454.96979,77384.398,12216.636,178,90.654068
167,530922.424921,184035.240495,531065.497338,184026.462826,3.0721309,53,4,269,2396124,450.54047,465.7294,79745.664,12216.636,178,143.34143
168,531065.497338,184026.462826,531206.527247,184017.810468,2.9278691,53,4,824,3901195.5,412.4729,451.39011,73007.703,12216.636,178,141.29507
169,531282.101437,184085.298468,531294.562642,184021.679734,4,54,4,1093,3764925,434.46014,486.09479,76899.445,12216.636,178,64.827652
170,531268.479945,184016.651855,531294.562642,184021.679734,1.9948233,55,3,339,883112.06,450.56699,507.33084,79750.359,12216.636,178,26.562881
171,531294.562642,184021.679734,531317.354673,184026.073282,1.9981046,55,3,803,2490729,449.70007,506.20084,79596.914,12216.636,178,23.211634
172,531268.479945,184016.651855,531279.573531,183955.446867,1.9839985,56,2,341,1043035.1,449.58621,513.57153,79576.758,12216.636,178,62.202236
173,531279.573531,183955.446867,531304.31269,183959.573805,2.0713086,57,3,353,785624.56,446.66309,513.83435,79059.367,12216.636,178,25.08102
174,531304.31269,183959.573805,531329.366877,183963.753297,1.9357636,57,3,817,2417631.8,445.896,512.96509,78923.594,12216.636,178,25.400402
175,531317.354673,184026.073282,531329.366877,183963.753297,2.0160015,58,2,806,2681972.5,448.80777,512.60968,79438.977,12216.636,178,63.467106
176,530810.256885,183814.547701,530916.388132,183816.148133,4,59,4,186,1329640.2,532.92706,548.55707,94328.094,12216.636,178,106.14331
177,531139.683702,184338.865635,531374.160466,184412.387824,4,60,4,262,3785307.8,631.90723,631.2514,111847.58,12216.636,178,245.73332
