Ref,x,y,Angular Step Depth,Connectivity,Point First Moment,Point Second Moment
851987,1.44000000,5.94000000,0.94228411,152.00000000,222.51847839,509.19479370
851988,1.44000000,6.00000000,0.91577363,150.00000000,222.08430481,509.08679199
851999,1.44000000,6.66000000,1.02272677,161.00000000,217.65577698,466.41598511
852004,1.44000000,6.96000000,1.71353471,22.00000000,6.79387617,2.96280003
852007,1.44000000,7.14000000,2.50326109,57.00000000,19.55337715,9.04319954
852016,1.44000000,7.68000000,2.37264872,63.00000000,21.58626747,9.94320011
917506,1.50000000,4.92000000,2.05500293,33.00000000,15.10892391,10.10879993
917507,1.50000000,4.98000000,2.26511288,32.00000000,12.57014084,7.29720020
917508,1.50000000,5.04000000,2.68066883,24.00000000,8.52340889,4.37400007
917510,1.50000000,5.16000000,1.47583604,33.00000000,10.20894909,4.04279995
917511,1.50000000,5.22000000,1.18066883,72.00000000,29.44890976,15.35400009
917522,1.50000000,5.88000000,1.03946364,36.00000000,12.21670437,6.05159998
